family	system	status	repo	head_sha	license	size	mechanism_slice	note
units	uom	MISSING	iliekturtles/uom	a465bcc2b3bf67f9f12fc0b133d371762d9d8fe4	Apache-2.0 OR MIT	1201 KB	src/system.rs (1658 lines: system!/quantity! macros, dimension exponents as typenum), src/quantity.rs (460), src/si/mod.rs (448) + src/si/<quantity>.rs e.g. length.rs [files verified 200]	RECOMMENDED primitive donor #1: compile-time dimension vector + base-unit system + per-quantity unit table; v0.38.0; Rust matches Atlas
units	pint	MISSING	hgrecco/pint	e4042bbe5c6647e1d6ef5d242228d2e1462df7db	BSD-3-Clause	5480 KB	pint/facets/plain/{registry.py 1520,quantity.py 1874,unit.py,definitions.py 302}, pint/util.py (UnitsContainer), pint/default_en.txt (text unit-definition grammar) [files verified 200]	runtime dimension dict + data-file registry; best for a DECLARATIVE unit table Atlas can parse; GitHub reports NOASSERTION, LICENSE text = BSD-3
units	mp-units	MISSING	mpusz/mp-units	bbf20c832028d8f7e49ac4940a26a86e293630a8	MIT	68317 KB	src/core/include/mp-units/framework/{dimension.h 393,quantity.h 1411,quantity_spec.h,reference.h 288,unit.h}, src/systems/include/mp-units/systems/si.h [files verified 200]	richest model: quantity_spec (quantity KIND hierarchy, e.g. width vs height both length) + quantity_point (affine origin); repo large due to docs; C++20 template-heavy - principles donor
units	Boost.Units	MISSING	boostorg/units	f39b667d7803a6428d869c0087d92128b1212685	BSL-1.0	6234 KB	include/boost/units/{dimension.hpp,quantity.hpp,systems/si.hpp} [verified 200]	no LICENSE file in repo (headers + README cite BSL-1.0); superseded conceptually by mp-units; DUPLICATE - drop
units	dimensioned	MISSING	paholg/dimensioned	615c908ae5735435077a73e74d0e996c49d46015	MIT	467 KB	src/make_units.rs, src/lib.rs [verified 200]; src/unit_systems/ UNVERIFIED (si.rs 404)	last push 2022-12: stale; overlaps uom; DUPLICATE - drop
CAD	FreeCAD	MISSING	FreeCAD/FreeCAD	3f714943e2948c8c6a2f2022cf196371eed576fb	LGPL-2.1-or-later	2848598 KB	src/Mod/Sketcher/App/planegcs/{GCS.cpp,Constraints.h,Geo.h}; src/Base/{Unit.h,Quantity.h,Placement.h}; src/App/{Document.cpp,PropertyUnits.h}; src/Mod/Assembly/App/AssemblyObject.cpp [verified 200]	LGPL: principles-only. Has units (Base::Unit 8-exponent signature), placement frames, document DAG, and planegcs constraint solver in one repo; 2.8 GB
CAD	CadQuery	MISSING	CadQuery/cadquery	c11b3f93278bb25053991f7071451f71664c90fc	Apache-2.0	14489 KB	cadquery/occ_impl/shapes.py; cadquery/occ_impl/geom.py (Location/Plane/Vector); cadquery/assembly.py + occ_impl/assembly.py (component tree w/ Location); cadquery/occ_impl/solver.py (731 lines, casadi; ConstraintKind Plane/Point/Axis/PointInPlane/...) [verified 200]	best permissive small slice for assembly graph + typed geometric constraints; GitHub NOASSERTION, LICENSE = Apache-2.0; runtime depends on OCCT (LGPL) via OCP
CAD	OpenCascade OCCT	MISSING	Open-Cascade-SAS/OCCT	3d097a0328e71b826377d4814ab05ec3c3d23871	LGPL-2.1-only WITH OCCT-exception-1.0	217226 KB	src/FoundationClasses/TKMath/gp/{gp_Trsf,gp_Ax3}.hxx; src/FoundationClasses/TKernel/{Units,UnitsAPI}/; src/ModelingData/TKBRep/TopoDS/; src/ModelingAlgorithms/TKTopAlgo/BRepCheck/ [verified 200]	NOTE: tree reorganized into Module/Toolkit/Package - old src/gp, src/Units paths 404. LGPL: principles-only. Geometry kernel; out of scope for first primitives
EDA	KiCad	MISSING	KiCad/kicad-source-mirror (== gitlab.com/kicad/code/kicad)	d1191971d12cf0c40d6b032d5d46ab14a8b176e4	GPL-3.0-or-later	4357545 KB	eeschema/erc/{erc.cpp,erc_settings.h} (NOT eeschema/erc.cpp - 404); eeschema/connection_graph.cpp; pcbnew/drc/{drc_engine.cpp,drc_rule.h,drc_rule_parser.cpp,drc_test_provider.h}; common/eda_units.cpp; eeschema/sim/ [verified 200]	GPL: principles-only. mirror HEAD == GitLab HEAD (ls-remote). Best design reference for rule->verdict (DRC rule language + severity) over a netlist graph
EDA	ngspice	MISSING	git.code.sf.net/p/ngspice/ngspice (GitHub ngspice/ngspice is a STALE mirror)	a9950f0e8ca7f3ea7a7ae00c4e93944a30c2c1b4 (SF master); GitHub mirror 032b1c32c4dbad45ff132bcfac1dbecadbd8abb0 last push 2024-06-09	BSD-3-Clause (Modified BSD) + mixed: KLU/tclspice/numparam LGPL-2, xspice/icm/table GPL-2+, osdi MPL-2.0	24176 KB (GitHub mirror)	src/spicelib/analysis/{dctran.c,cktop.c,cktdojob.c}; src/include/ngspice/{cktdefs.h,jobdefs.h,tskdefs.h}; src/spicelib/devices/dev.c; src/frontend/inp.c [verified 200 on GitHub mirror; SF tree layout assumed same]	COPYING fetched from SourceForge. analysis slice is BSD. Task/Job structs = simulation-run identity model; pin SF sha not the mirror
