Source path,Class name,Method name,Method signature,Cyclomatic complexity,Cognitive complexity,Max nesting depth,Line count,Parameter count,ABC score,Assignments,Branches,Conditions,Halstead volume,Halstead difficulty,Halstead estimated bugs
rewrite-java-25/src/main/java/org/openrewrite/java/Java25Parser.java,org.openrewrite.java.Java25Parser,Java25Parser,"org.openrewrite.java.Java25Parser{name=<constructor>,return=org.openrewrite.java.Java25Parser,parameters=[org.openrewrite.java.JavaParser]}",1,0,0,4,1,1.0,1,0,0,3.0,1.0,0.0
rewrite-java-25/src/main/java/org/openrewrite/java/Java25Parser.java,org.openrewrite.java.Java25Parser,parseInputs,"org.openrewrite.java.Java25Parser{name=parseInputs,return=java.util.stream.Stream<org.openrewrite.SourceFile>,parameters=[java.lang.Iterable<org.openrewrite.Parser$Input>,java.nio.file.Path,org.openrewrite.ExecutionContext]}",1,0,0,5,3,1.0,0,1,0,19.65,1.0,0.0
rewrite-java-25/src/main/java/org/openrewrite/java/Java25Parser.java,org.openrewrite.java.Java25Parser,reset,"org.openrewrite.java.Java25Parser{name=reset,return=org.openrewrite.java.JavaParser,parameters=[]}",1,0,0,6,0,1.0,0,1,0,8.0,1.0,0.0
rewrite-java-25/src/main/java/org/openrewrite/java/Java25Parser.java,org.openrewrite.java.Java25Parser,reset,"org.openrewrite.java.Java25Parser{name=reset,return=org.openrewrite.java.JavaParser,parameters=[java.util.Collection<java.net.URI>]}",1,0,0,6,1,1.0,0,1,0,11.61,1.0,0.0
rewrite-java-25/src/main/java/org/openrewrite/java/Java25Parser.java,org.openrewrite.java.Java25Parser,setClasspath,"org.openrewrite.java.Java25Parser{name=setClasspath,return=void,parameters=[java.util.Collection<java.nio.file.Path>]}",1,0,0,5,1,1.0,0,1,0,8.0,0.5,0.0
rewrite-java-25/src/main/java/org/openrewrite/java/Java25Parser.java,org.openrewrite.java.Java25Parser,builder,"org.openrewrite.java.Java25Parser{name=builder,return=org.openrewrite.java.Java25Parser$Builder,parameters=[]}",1,0,0,4,0,1.0,0,1,0,4.75,1.0,0.0
rewrite-java-25/src/main/java/org/openrewrite/java/Java25Parser.java,org.openrewrite.java.Java25Parser$Builder,lazyInitClassLoaders,"org.openrewrite.java.Java25Parser$Builder{name=lazyInitClassLoaders,return=void,parameters=[]}",2,1,1,9,0,3.0,2,2,1,60.92,3.75,0.01
rewrite-java-25/src/main/java/org/openrewrite/java/Java25Parser.java,org.openrewrite.java.Java25Parser$Builder,build,"org.openrewrite.java.Java25Parser$Builder{name=build,return=org.openrewrite.java.Java25Parser,parameters=[]}",2,1,1,24,0,11.4,3,11,0,443.13,10.96,0.1
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25JavadocVisitor.java,org.openrewrite.java.isolated.ReloadableJava25JavadocVisitor,ReloadableJava25JavadocVisitor,"org.openrewrite.java.isolated.ReloadableJava25JavadocVisitor{name=<constructor>,return=org.openrewrite.java.isolated.ReloadableJava25JavadocVisitor,parameters=[{undefined},com.sun.source.util.TreePath,org.openrewrite.java.isolated.ReloadableJava25TypeMapping,java.lang.String,{undefined}]}",1,0,0,4,5,1.0,0,1,0,19.65,0.5,0.0
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25JavadocVisitor.java,org.openrewrite.java.isolated.ReloadableJava25JavadocVisitor,ReloadableJava25JavadocVisitor,"org.openrewrite.java.isolated.ReloadableJava25JavadocVisitor{name=<constructor>,return=org.openrewrite.java.isolated.ReloadableJava25JavadocVisitor,parameters=[{undefined},com.sun.source.util.TreePath,org.openrewrite.java.isolated.ReloadableJava25TypeMapping,java.lang.String,{undefined},boolean]}",3,7,1,24,6,13.34,13,3,0,450.83,9.04,0.09
